WKT,nome,descrição
POINT (-47.9089512 -21.9847763),Estação de recarga da Graal - São Carlos,-21.98477, -47.90895
POINT (-47.9115539 -22.0183665),Chevrolet Javep São Carlos,-22.01836, -47.91155
POINT (-47.92209339999999 -21.998771),Estacao de carregamento de veiculos eletricos,-21.99877, -47.92209
POINT (-47.8890099 -22.0048959),Estação de carregamento para veículos elétricos,-22.00489, -47.889
POINT (-47.89454980000001 -22.024159),Estação de recarga de veículos elétricos,-22.02415, -47.89454
POINT (-47.8243677 -22.101616),Estação de carregamento de veículos elétricos,-22.10161, -47.82436
POINT (-47.8319362 -22.0931814),Estação de recarga da Castelo Posts,-22.09318, -47.83193
POINT (-47.8700791 -22.035575),Estação de recarga da Nacional Inn - São Carlos,-22.03557, -47.87007
POINT (-47.87421699999999 -22.026522),Eletroposto Auto Posto Agito Ltda,-22.02652, -47.87421
POINT (-47.9008368 -22.002758),Eletroposto Cardinali,-22.00275, -47.90083
POINT (-47.8979375 -21.9589375),Porsche Destination Charging,-21.95893, -47.89793
POINT (-47.8989876 -21.950035),Eletroposto Damha Golf Club,-21.95003, -47.89898
POINT (-47.87971870000001 -22.0338426),Dan Inn São Carlos,-22.03384, -47.87971
POINT (-47.890518 -22.0105815),Roda Chopp Restaurante.,-22.01058, -47.89051
